[4, 25, 10, 9, 4, 75]
[4, 4, 75, 25, 9, 10]
[9, 4, 4, 75, 25, 10]
[4, 10, 75, 25, 4, 9]
[10, 75, 4, 9, 25, 4]
[75, 25, 9, 10, 4, 4]
[75, 25, 9, 10, 4, 4]
[75, 4, 9, 4, 10, 25]
[10, 9, 4, 4, 25, 75]
[9, 4, 25, 75, 4, 10]
[10, 75, 4, 25, 9, 4]
[25, 75, 4, 10, 4, 9]

[10, 75, 4, 9, 4, 25]
[75, 4, 10, 9, 4, 25]
[9, 4, 25, 10, 4, 75]
[4, 10, 9, 25, 4, 75]
[9, 75, 4, 4, 10, 25]
[4, 75, 4, 25, 9, 10]
[4, 75, 9, 25, 10, 4]
[75, 10, 9, 4, 25, 4]
[25, 4, 4, 10, 75, 9]
[25, 4, 4, 10, 75, 9]
[75, 10, 25, 4, 9, 4]
[25, 10, 4, 75, 4, 9]
[75, 4, 4, 25, 9, 10]
[9, 4, 10, 25, 4, 75]
[4, 9, 25, 4, 10, 75]
[25, 4, 75, 10, 4, 9]
[25, 4, 10, 4, 75, 9]
[25, 4, 10, 4, 75, 9]
